RR,DET,NRLINE,maxL,L,ENTR,rENTR,LAM,TT,Metric,Condition,V12
1.83046252260542,4.29789225600481,12695,5,2.02544308782985,0.119043074548275,0.0858714266514858,8.7916826850753,2.07880799936764,ECG,Conversation,1
3.53952333655851,6.47211894579241,35466,5,2.0379236451813,0.162590941793123,0.117284572709202,9.77090541789345,2.0843553008596,ECG,Synchronous,1
2.72394735815429,5.19677562638239,22548,5,2.03401632073798,0.149556435058183,0.107882163595737,8.82238297255158,2.08427026448228,ECG,TurnTaking,1
1.29804717885696,4.0311739225002,7577,5,2.03022304342088,0.135481676048698,0.097729371083391,2.18395654099439,2.00048007681229,ECG,Conversation,2
2.5351221966747,7.03679460754276,24816,4,2.03606544165055,0.156467613163058,0.142422959197689,4.42078435741741,2.01811939729163,ECG,Synchronous,2
1.84190538948803,5.41283086953847,14295,4,2.0314795383001,0.14075774548393,0.12812322139103,2.67454236043414,2.01615849374737,ECG,TurnTaking,2
2.16436485583712,3.90397584833809,12337,4,2.02091270162925,0.101992114309089,0.0928372232507414,5.49597498398919,2.06016317426777,ECG,Conversation,4
4.1580467322382,7.37364885098406,42591,5,2.0466060904886,0.190565111864375,0.137463670926592,9.17563203066975,2.09553340288242,ECG,Synchronous,4
3.34911326921458,6.00928370449427,28882,6,2.03722041409875,0.160076330623106,0.0994610164122502,8.43448554080898,2.07005890462464,ECG,TurnTaking,4
2.41599220184919,5.36717204823234,18618,5,2.03620152540552,0.156902514515198,0.113181239797042,13.4335035556984,2.07643995098039,ECG,Conversation,5
4.69455443317519,9.34354168021746,60087,5,2.05600213024448,0.21893789355414,0.157930306646617,21.0764597416702,2.11446825300473,ECG,Synchronous,5
3.63452241330192,7.67639367650956,39392,6,2.05155869212023,0.205710752601108,0.127815277005618,17.359202791105,2.09116290778438,ECG,TurnTaking,5
2.51164486653524,4.30834582907417,16001,4,2.0308730704331,0.138687887748473,0.126239155686679,4.18875794324746,2.11387662250769,ECG,Conversation,6
5.22697654814057,8.77675378094106,64600,5,2.05549535603715,0.217452461036609,0.156858793583308,10.7335035563749,2.19735595789018,ECG,Synchronous,6
3.96931144830506,6.76807075144626,39171,5,2.04082101554722,0.172157259886949,0.124185212545967,7.9851906914369,2.14766827579925,ECG,TurnTaking,6
6.30702576326244,13.2537419590367,120950,7,2.0891360066143,0.308477224532233,0.172164417060474,41.017305118102,2.55175361883753,ECG,Conversation,7
9.50609717677056,19.0010559852704,249562,6,2.10895488896547,0.356143238933092,0.221284236056341,35.0129335631831,2.37675959691017,ECG,Synchronous,7
8.491330077801,20.0375078141279,239987,12,2.1236483642864,0.38895806523679,0.199884904976532,33.1998018455103,2.30918393576933,ECG,TurnTaking,7
2.38140433327733,6.05901222502737,26391,4,2.02974498882195,0.13466950054841,0.122581462029407,13.7044049913583,2.08395397237655,ECG,Conversation,8
4.51498158942817,10.4699485632427,82662,5,2.05391836635939,0.21269355040348,0.153425965198084,21.4330511228704,2.1466450082763,ECG,Synchronous,8
3.62390110498942,8.40803301699788,54938,5,2.0421566129091,0.176377734630673,0.127229641537451,20.4088454018195,2.11961580971061,ECG,TurnTaking,8
3.96774163789146,8.61242255835177,62403,6,2.05972469272311,0.229725087406791,0.1427362221506,15.2236577786057,2.06552965562384,ECG,Conversation,9
7.9086544531075,18.1972333004461,246734,7,2.1229785923302,0.387932766113228,0.216509399155212,30.0989049928435,2.17627407293909,ECG,Synchronous,9
6.16971354732904,15.6570839212851,171773,6,2.09806547012627,0.330413823214083,0.205297651224314,25.9223747228227,2.14531746060281,ECG,TurnTaking,9
4.09351494989054,10.9787083761817,73042,5,2.07695572410394,0.276942226558272,0.199771588434183,20.7848975004541,2.26909159859055,ECG,Conversation,10
7.29026717498719,16.5719504940415,184813,7,2.13135980693999,0.405858186665784,0.226513766850994,27.1613420022331,2.34304513665843,ECG,Synchronous,10
5.33331440878079,8.12557182388077,70041,5,2.07064433688839,0.260156938408135,0.187663562447136,11.6445052522356,2.14102643344253,ECG,TurnTaking,10
