RR,DET,NRLINE,maxL,L,ENTR,rENTR,LAM,TT,Metric,Condition,V12
3.76633635866033,77.1071601802331,292688,33,3.30225017766359,1.55039966378492,0.460428706613267,87.6112096805075,3.72215575356812,ECG,Conversation,1
3.40812975679617,74.4457889190631,260413,27,3.22016565993249,1.50547357961818,0.462071507719166,85.4957427107627,3.6015033657442,ECG,Synchronous,1
3.41338272083878,74.76100080529,262814,40,3.24277626001659,1.51014517463669,0.418216423405437,85.0788885945321,3.60678093424718,ECG,TurnTaking,1
3.34652041623944,81.3597081695377,246071,38,3.31552275562744,1.5708725211273,0.46185867647576,93.6046407266243,4.67184132593385,ECG,Conversation,2
3.05130592511641,79.6364217287596,223911,36,3.22813975195502,1.52121253246608,0.44725793941505,92.8802560472431,4.50990493615155,ECG,Synchronous,2
3.13511662599401,79.9292155912365,225988,37,3.33479211285555,1.57139735110481,0.438506780093038,93.6163578377771,4.63828020724953,ECG,TurnTaking,2
4.06939410238444,76.9986272715388,295956,31,3.18405438646285,1.4855312269901,0.455950647764477,86.7979474441103,3.54180239594829,ECG,Conversation,4
3.58508922504068,74.5575934353509,256033,25,3.11685993602387,1.44700871360913,0.455312839509301,84.6995204323116,3.40101816108254,ECG,Synchronous,4
3.85798970025082,76.2593634848351,274560,34,3.23440413752914,1.50897458677383,0.4315662300873,85.8442743948675,3.62506074078372,ECG,TurnTaking,4
3.60295122114827,70.9724467823534,249343,23,3.05616760847507,1.40079938823745,0.453180248856021,84.8176033618204,3.63611318509764,ECG,Conversation,5
3.28886582136917,68.9309471537696,225162,23,2.97853989571953,1.34961294930331,0.436620644869178,83.4492710723007,3.51045256244514,ECG,Synchronous,5
3.40672794591742,69.9410472142429,236924,31,3.00798990393544,1.36462096889968,0.409524975052606,84.0606663127079,3.61887479614341,ECG,TurnTaking,5
3.45742629878668,78.2427932938718,229589,46,3.60587397479845,1.70011457910258,0.474426006475926,91.9983139223327,4.72134081572272,ECG,Conversation,6
3.13319889471921,76.054827388062,205660,34,3.52032967032967,1.66481068833077,0.480362824814749,91.7530960687359,4.68632563929219,ECG,Synchronous,6
3.71417843804491,80.332829577371,235319,55,3.89432217542995,1.81649783721796,0.482956976853917,92.7215445087678,5.05734695048482,ECG,TurnTaking,6
3.43288044801558,78.0943680473003,258421,25,3.19548333920231,1.50044485284437,0.472126947163792,88.7668299897959,3.83994370783713,ECG,Conversation,7
3.19588370518853,76.8191910613611,236840,27,3.16997551089343,1.48424245701828,0.467028734014798,87.6099168141774,3.73576788830716,ECG,Synchronous,7
3.38358845297862,77.6777767261415,250573,31,3.24257202491889,1.5243451537582,0.452691189227745,88.0251130748029,3.84675771768058,ECG,TurnTaking,7
3.43733254062886,74.0178524652304,327960,54,2.92941517258202,1.31502067009171,0.354112064198813,92.5344306348673,4.24339239343567,ECG,Conversation,8
3.09101341107872,71.7263431851833,288538,33,2.88262897781228,1.28279140063605,0.384967788357204,92.2119707178171,4.13151428041543,ECG,Synchronous,8
3.48068348070196,73.6371199349625,326501,58,2.97394494963262,1.33868122436387,0.349649153768083,93.0387229708567,4.36446752877141,ECG,TurnTaking,8
3.71826118552918,86.4853711213224,342053,40,3.59640465074126,1.71540402010436,0.494960974585112,93.8193550019966,4.8009404163159,ECG,Conversation,9
3.28077622083696,85.0128154542509,303230,37,3.49586782310457,1.66934415652532,0.490810726106556,93.5392627665342,4.6863852783414,ECG,Synchronous,9
3.5666478407891,85.5770965854257,331765,50,3.53077328832155,1.68279456823798,0.450225605817684,93.4060193935019,4.62893906041824,ECG,TurnTaking,9
3.43853705160695,79.4445770345959,297281,24,3.15763873237778,1.4748856224214,0.470383780307609,91.1795671241873,4.59272063807384,ECG,Conversation,10
3.11275197219582,76.705134842566,266312,25,3.05985836162096,1.41168520089376,0.450227333771506,89.9716665882242,4.459252416676,ECG,Synchronous,10
3.2776868146248,77.7081808842827,281811,37,3.11636522350086,1.44531221131414,0.413358811873398,90.7142269362099,4.54548074450444,ECG,TurnTaking,10
