RR,DET,NRLINE,maxL,L,ENTR,rENTR,LAM,TT,metric,group,condition,radius
0.0012664479933131546,52.77777777777778,9,3,2.111111111111111,0.34883209584303193,0.5032583347756457,72.22222222222221,2.3636363636363638,hr1S,1,Conversation,1.458638
0.08693885358916531,93.56395816572808,398,50,5.844221105527638,2.0809389958356594,0.6244931814602958,96.62107803700724,6.902298850574713,hr1S,2,Conversation,1.458638
0.03400596931805327,83.4186284544524,178,36,4.578651685393258,1.955428771542885,0.6901805596974083,89.86693961105425,5.453416149068323,hr1S,4,Conversation,1.458638
0.03140304523894149,82.1590909090909,162,9,4.462962962962963,1.865166575065655,0.896955522759691,86.5909090909091,6,hr1S,5,Conversation,1.458638
5.052667319920411e-4,NA,0,0,0,NA,NA,0,0,hr1S,6,Conversation,1.458638
0.043351897092937124,94.64831804281346,166,53,7.457831325301205,2.250541485891871,0.6683527671820004,96.86544342507645,8.922535211267606,hr1S,7,Conversation,1.458638
0.11359905683294817,89.2459826946848,582,52,6.202749140893471,2.3120228849006095,0.6556399632882883,95.30284301606922,7.772177419354839,hr1S,8,Conversation,1.458638
0.010804695593590909,56.34674922600619,73,4,2.493150684931507,0.8262548318274809,0.7520895591193337,71.51702786377709,2.8518518518518516,hr1S,9,Conversation,1.458638
0.0029341247086833327,46.42857142857143,19,3,2.0526315789473686,0.20619205063323187,0.2974722489192897,51.19047619047619,2.0476190476190474,hr1S,10,Conversation,1.458638
0.05666831751540522,89.42265315116792,362,30,5.604972375690608,2.087969245166277,0.8140391696593516,91.49405024239753,6.569620253164557,hr1S,1,Synchronous,1.458638
0.010884009997587674,72.1311475409836,72,5,3.0555555555555554,1.120278237512475,0.808109928837538,77.04918032786885,3.263888888888889,hr1S,2,Synchronous,1.458638
0.0029402273297715943,19.51219512195122,8,2,2,-0,NaN,71.95121951219512,2.5652173913043477,hr1S,4,Synchronous,1.458638
0.004266915271253899,82.35294117647058,32,6,3.0625,1.3046523537037127,0.8106260848115399,91.59663865546219,3.303030303030303,hr1S,5,Synchronous,1.458638
0.011279110910905917,86.91588785046729,70,17,3.9857142857142858,1.616875460833282,0.7358717345103989,90.96573208722741,4.866666666666666,hr1S,6,Synchronous,1.458638
0.0557237117057788,77.33585858585859,321,19,3.8161993769470404,1.7890234189905203,0.6974887881455367,90.3409090909091,4.349544072948328,hr1S,7,Synchronous,1.458638
0.05121334440687605,84.61538461538461,326,12,3.7116564417177913,1.6412717100352139,0.7127952469722074,90.55944055944056,4.245901639344262,hr1S,8,Synchronous,1.458638
0.003417165392963229,60,57,2,2,-0,NaN,63.1578947368421,2,hr1S,9,Synchronous,1.458638
