RR,DET,NRLINE,maxL,L,ENTR,rENTR,LAM,TT,Metric,Condition,V12
1.83046252260542,4.29789225600481,12695,5,2.02544308782985,0.119043074548275,0.0858714266514858,8.7916826850753,2.07880799936764,ECG,Conversation,1
3.53952333655851,6.47211894579241,35466,5,2.0379236451813,0.162590941793123,0.117284572709202,9.77090541789345,2.0843553008596,ECG,Synchronous,1
2.72394735815429,5.19677562638239,22548,5,2.03401632073798,0.149556435058183,0.107882163595737,8.82238297255158,2.08427026448228,ECG,TurnTaking,1
0.000303406517918385,NA,0,0,0,NA,NA,0,0,HR,Conversation,1
4.87680347412807,9.26027848626484,73954,6,2.05212699786354,0.207354009094683,0.128836289671518,8.16933722221544,2.04938082627929,HR,Synchronous,1
0.000513643793995744,NA,0,0,0,NA,NA,0,0,HR,TurnTaking,1
4.30070152479642,8.0682888386482,56382,6,2.04824234684828,0.195597970483178,0.121531852190158,8.66304952310156,2.06386484687084,RESP,Conversation,1
3.92195080566546,7.47660162747137,47483,5,2.04104626919108,0.172917815105113,0.12473383716675,7.70279360984506,2.03790182671701,RESP,Synchronous,1
4.07514291546317,7.36504652200013,49073,5,2.04258961139527,0.177862448910436,0.128300636501726,6.90640271747556,2.02931905522691,RESP,TurnTaking,1
1.29804717885696,4.0311739225002,7577,5,2.03022304342088,0.135481676048698,0.097729371083391,2.18395654099439,2.00048007681229,ECG,Conversation,2
2.5351221966747,7.03679460754276,24816,4,2.03606544165055,0.156467613163058,0.142422959197689,4.42078435741741,2.01811939729163,ECG,Synchronous,2
1.84190538948803,5.41283086953847,14295,4,2.0314795383001,0.14075774548393,0.12812322139103,2.67454236043414,2.01615849374737,ECG,TurnTaking,2
0.000869890187490332,3.10077519379845,3,4,2.66666666666667,0.636514168294813,0.918295834054489,0,NaN,HR,Conversation,2
4.53893967508725,10.5853010273444,70350,5,2.06744847192608,0.251469140984069,0.181396641317162,7.39344467507212,2.06198875515051,HR,Synchronous,2
0.00243880339376082,2.52454417952314,9,2,2,0,NaN,0,NaN,HR,TurnTaking,2
3.63548399455412,9.50529714208605,50027,5,2.06982229596018,0.257832459439034,0.18598680530645,5.6030094706897,2.0123635884079,RESP,Conversation,2
3.35941673864245,8.91387536825925,43167,5,2.06352074501355,0.240487805403945,0.173475282125271,4.87833434738056,2.00919094918188,RESP,Synchronous,2
3.484272395633,9.49355310635204,48138,5,2.06655864389879,0.248663226192133,0.17937260163942,6.37961424567384,2.03012542136111,RESP,TurnTaking,2
2.16436485583712,3.90397584833809,12337,4,2.02091270162925,0.101992114309089,0.0928372232507414,5.49597498398919,2.06016317426777,ECG,Conversation,4
4.1580467322382,7.37364885098406,42591,5,2.0466060904886,0.190565111864375,0.137463670926592,9.17563203066975,2.09553340288242,ECG,Synchronous,4
3.34911326921458,6.00928370449427,28882,6,2.03722041409875,0.160076330623106,0.0994610164122502,8.43448554080898,2.07005890462464,ECG,TurnTaking,4
0.000262026900353454,NA,0,0,0,NA,NA,0,0,HR,Conversation,4
5.02836139543016,9.59394497959055,71294,5,2.05583920105479,0.21846978889265,0.157592640509743,8.07802980119446,2.03754457799498,HR,Synchronous,4
0.00130521213462878,NA,0,0,0,NA,NA,0,0,HR,TurnTaking,4
4.52497644497008,8.46241291307731,56119,5,2.05208574636041,0.207284850270993,0.149524412768687,6.2596768350439,2.0659924330617,RESP,Conversation,4
4.20025646371083,7.55877795755818,46218,5,2.05086762733134,0.203560293509358,0.146837712983926,5.04665474214892,2.0551748774072,RESP,Synchronous,4
4.33776318051039,8.37478003714928,53509,5,2.04922536395746,0.198621602095427,0.143275200178247,6.22120625183302,2.06827819109768,RESP,TurnTaking,4
2.41599220184919,5.36717204823234,18618,5,2.03620152540552,0.156902514515198,0.113181239797042,13.4335035556984,2.07643995098039,ECG,Conversation,5
4.69455443317519,9.34354168021746,60087,5,2.05600213024448,0.21893789355414,0.157930306646617,21.0764597416702,2.11446825300473,ECG,Synchronous,5
3.63452241330192,7.67639367650956,39392,6,2.05155869212023,0.205710752601108,0.127815277005618,17.359202791105,2.09116290778438,ECG,TurnTaking,5
