RR,DET,NRLINE,maxL,L,ENTR,rENTR,LAM,TT,metric,group,condition,radius
0,NA,0,0,0,NA,NA,NA,NA,hr1S,1,Conversation,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,2,Conversation,1.458638
3.48065192610576e-5,NA,0,0,0,NA,NA,0,0,hr1S,4,Conversation,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,5,Conversation,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,6,Conversation,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,7,Conversation,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,8,Conversation,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,9,Conversation,1.458638
4.052365568400554,7.73948948948949,5051,4,2.040981983765591,0.1726684954554639,0.15716963776620102,10.21921921921922,2.0398621309755733,resp1S,1,Conversation,0.4078281
3.6482746184409423,7.092386797147123,4195,4,2.0386174016686534,0.16496164455317036,0.150154559761169,7.208492287278155,2.0655893536121672,resp1S,2,Conversation,0.4078281
4.684331400217611,9.328317417446383,7089,5,2.046268867259134,0.189468462431294,0.13667260557724237,12.655541622455871,2.053422370617696,resp1S,4,Conversation,0.4078281
3.8652411316928315,7.5909486093497,4664,4,2.040523156089194,0.17111840499428121,0.15575868462361248,9.295462340376318,2.054654442877292,resp1S,5,Conversation,0.4078281
3.7523739956172393,7.540587891765623,4756,4,2.0361648444070646,0.1568148418040055,0.1427390203272878,8.745182012847966,2.0408867890241686,resp1S,6,Conversation,0.4078281
4.064100232091215,7.792814803798678,5394,4,2.040044493882091,0.16962403937647538,0.15439845441936315,11.005120142769126,2.0577330508474576,resp1S,7,Conversation,0.4078281
3.7126164514732523,7.222875205025532,5346,5,2.03460531238309,0.15143791243918606,0.1092393626392954,7.889581714710707,2.034417808219178,resp1S,8,Conversation,0.4078281
3.626286600772889,7.376156777354383,4527,4,2.0353434945880275,0.15402800825754875,0.1402023351152233,11.606999903935444,2.092509741665464,resp1S,9,Conversation,0.4078281
0,NA,0,0,0,NA,NA,NA,NA,hr1S,1,Synchronous,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,2,Synchronous,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,4,Synchronous,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,5,Synchronous,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,6,Synchronous,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,7,Synchronous,1.458638
7.162705511451196e-5,NA,0,0,0,NA,NA,0,0,hr1S,8,Synchronous,1.458638
5.395524304678782e-5,NA,0,0,0,NA,NA,0,0,hr1S,9,Synchronous,1.458638
5.0523100514444,9.784604087626974,10893,5,2.055081244836133,0.2162310957565986,0.1559777647670157,11.312656258195359,2.0921509983024817,resp1S,1,Synchronous,0.4078281
4.154395068937271,7.885597245309903,5214,5,2.037974683544304,0.16264018075011671,0.11732009110873902,12.90741510330088,2.0882458878616883,resp1S,2,Synchronous,0.4078281
4.033898084639303,7.960050052585922,5082,5,2.0403384494293584,0.17051120126786332,0.12299783224258318,10.272295279549834,2.0979931012856694,resp1S,4,Synchronous,0.4078281
4.305481621040943,8.189422655053116,5566,4,2.0456342076895435,0.18723979990231923,0.17043301065685082,12.023764142325923,2.089625,resp1S,5,Synchronous,0.4078281
4.03109345541051,7.954194214720273,5173,4,2.039628842064566,0.16825109825456594,0.15314874955435212,11.019472735908087,2.0742159784305376,resp1S,6,Synchronous,0.4078281
4.071927663449213,8.043752755093655,5271,4,2.042496679946879,0.17719552226627805,0.16129031514939546,9.015040009563444,2.0457782299084437,resp1S,7,Synchronous,0.4078281
3.8719328483879627,7.742146805994951,4754,5,2.0384938998737905,0.1640409664408408,0.11833054439341695,10.655737704918032,2.098159509202454,resp1S,8,Synchronous,0.4078281
3.1376346610852237,6.580957492929251,6274,4,2.032355753905005,0.14383828898059087,0.13092725292102056,10.119428559631702,2.0490124359912216,resp1S,9,Synchronous,0.4078281
3.6289737262302225e-5,NA,0,0,0,NA,NA,0,0,hr1S,1,TurnTaking,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,2,TurnTaking,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,4,TurnTaking,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,5,TurnTaking,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,6,TurnTaking,1.458638
3.4399428969479106e-5,NA,0,0,0,NA,NA,0,0,hr1S,7,TurnTaking,1.458638
0,NA,0,0,0,NA,NA,NA,NA,hr1S,8,TurnTaking,1.458638
3.560016176713507e-5,NA,0,0,0,NA,NA,0,0,hr1S,9,TurnTaking,1.458638
3.801972149162843,7.329648878602433,4362,4,2.0401192113709308,0.1698647865880419,0.15461759197503203,9.222393358097701,2.038041499817983,resp1S,1,TurnTaking,0.4078281
3.960072886492295,7.977131455759342,5109,4,2.034644744568409,0.15169036102784733,0.13807451690873349,10.758192003683524,2.0952025108354504,resp1S,2,TurnTaking,0.4078281
4.110850213527239,7.976339321619981,5354,4,2.037542024654464,0.16135858007894346,0.1468749091406621,9.100879598148676,2.104666892120392,resp1S,4,TurnTaking,0.4078281
3.7997222557662114,7.320716340118542,4516,4,2.0403011514614704,0.1703193515884562,0.15503135486946076,8.68967599434301,2.0374441132637853,resp1S,5,TurnTaking,0.4078281
3.9493050930681868,7.773942727100322,5016,4,2.0430622009569377,0.17924459075072727,0.16315545766198594,12.651621467855112,2.0946998241647825,resp1S,6,TurnTaking,0.4078281
3.7757015026410636,7.254519771782104,4512,4,2.037455673758865,0.16073229442811424,0.14630483937420383,8.488727203857293,2.0552158960641957,resp1S,7,TurnTaking,0.4078281
